,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
145,146,A,5-Minute Crafts KIDS,1574,12603102,2324574131,Howto,"Oct 30th, 2017",24830,4654110,1200,18600,34900,558500,418900,6700000,246,765,https://socialblade.com/youtube/user/57xajj04ty8gnxowf-sy0q
146,147,A,Barbie,4827,6151046,3519955207,Entertainment,"Oct 8th, 2005",7980,3898540,975,15600,29200,467800,350900,5600000,887,409,https://socialblade.com/youtube/user/barbie
147,148,A,Furious Trailer,1640,2042231,947837318,Entertainment,"Feb 1st, 2016",7077,3063790,766,12300,23000,367700,275700,4400000,4809,2465,https://socialblade.com/youtube/user/wosgekgps5c026ly4y4kgw
148,149,A,SuperMarioLogan,556,7245682,4247374285,Entertainment,"Dec 8th, 2007",4304,3512600,878,14100,26300,421500,316100,5100000,679,309,https://socialblade.com/youtube/user/supermariologan
149,150,A,DJSnakeVEVO,25,6677806,3892921009,Music,"Jan 27th, 2014",-588,3899270,975,15600,29200,467900,350900,5600000,773,343,https://socialblade.com/youtube/user/djsnakevevo
150,151,A,Kids TV - Nursery Rhymes And Baby,2444,12154359,6076353301,Education,"Aug 30th, 2013",12896,-290520,0,0,0,0,0,0,267,175,https://socialblade.com/youtube/user/7pq3ko42ypkcb_q4e981jw
151,152,A,JRE Clips,2594,2101021,1008913136,Comedy,"Jan 18th, 2017",6629,3805540,951,15200,28500,456700,342500,5500000,4627,2282,https://socialblade.com/youtube/user/nxgkognmqqeumvroowps6q
152,153,A,Telemundo Novelas,12077,4817939,2498245177,Entertainment,"Aug 14th, 2012",6731,3278250,820,13100,24600,393400,295000,4700000,1315,703,https://socialblade.com/youtube/user/tlmdnovelas
153,154,A,Tom Slime,504,6100121,1792742268,,"Feb 11th, 2016",12984,3830440,958,15300,28700,459700,344700,5500000,896,1094,https://socialblade.com/youtube/user/os8velpb5gc_ekibh9e-cq
154,155,A,Vogue,2125,4884680,1075610704,Howto,"Jun 29th, 2008",10967,2540620,635,10200,19100,304900,228700,3700000,1281,2102,https://socialblade.com/youtube/user/americanvogue
