,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
212,213,A,TLC,6520,4056984,3151196435,Entertainment,"Jan 7th, 2006",6432,3280930,820,13100,24600,393700,295300,4700000,1736,484,https://socialblade.com/youtube/user/tlc
213,214,B+,FARRUKOVEVO,63,5984251,3146651855,Music,"Apr 26th, 2010",-301,1038470,260,4200,7800,124600,93500,1500000,915,485,https://socialblade.com/youtube/user/farrukovevo
214,215,A,Caso Cerrado,2949,5559493,3141254913,Entertainment,"Mar 12th, 2015",5438,3686810,922,14700,27700,442400,331800,5300000,1028,486,https://socialblade.com/youtube/user/gbofrroopwrumvob5w61oa
215,216,A,ThaliaVEVO,144,2332695,3136561547,Music,"Dec 2nd, 2009",-155,2232200,558,8900,16700,267900,200900,3200000,4023,488,https://socialblade.com/youtube/user/thaliavevo
216,217,A,Blippi,157,3986330,3132065125,Education,"Jan 27th, 2014",6452,4517450,1100,18100,33900,542100,406600,6500000,1784,489,https://socialblade.com/youtube/user/blippivideos
217,218,B+,DJKhaledVEVO,42,5282436,3127783452,Music,"Feb 15th, 2010",-383,1290140,323,5200,9700,154800,116100,1900000,1109,490,https://socialblade.com/youtube/user/djkhaledvevo
218,219,B+,ERB,70,14410405,3112415582,Entertainment,"Feb 8th, 2006",394,648990,162,2600,4900,77900,58400,934500,184,493,https://socialblade.com/youtube/user/erb
219,220,B+,JennaMarbles,445,19524995,3111216437,Comedy,"Feb 16th, 2010",4335,1405800,351,5600,10500,168700,126500,2000000,93,494,https://socialblade.com/youtube/user/jennamarbles
220,221,A,Peppa Pig - Official Channel,429,7997156,3083032947,Film,"Oct 9th, 2013",12572,6739460,1700,27000,50500,808700,606600,9700000,579,502,https://socialblade.com/youtube/user/theofficialpeppa
221,222,B,Hulyan Maya,3322,1663666,3060535438,Entertainment,"Jul 18th, 2008",141,217285,54,869,1600,26100,19600,312900,6385,504,https://socialblade.com/youtube/user/ilovemaything
222,223,B+,JuanGabrielVEVO,240,3258103,3051405962,Music,"Oct 15th, 2009",1441,1444320,361,5800,10800,173300,130000,2100000,2434,507,https://socialblade.com/youtube/user/juangabrielvevo
223,224,A,Haschak Sisters,211,6360970,3052501119,Entertainment,"Feb 5th, 2008",4668,3210410,803,12800,24100,385200,288900,4600000,847,508,https://socialblade.com/youtube/user/jhaschak
224,225,A,ItsFunneh,1152,4185130,3044833118,Games,"Sep 2nd, 2011",4497,4990570,1200,20000,37400,598900,449200,7200000,1660,512,https://socialblade.com/youtube/user/itsfunneh
225,226,B+,Ray,811,9817254,3017302945,Comedy,"May 26th, 2008",-222,68026,17,272,510,8200,6100,98000,409,517,https://socialblade.com/youtube/user/raywilliamjohnson
226,227,B+,ChinoNachoVEVO,30,3375633,3009135364,Music,"May 21st, 2010",-168,824098,206,3300,6200,98900,74200,1200000,2298,520,https://socialblade.com/youtube/user/chinonachovevo
227,228,A,National Geographic,9124,10945819,3006287319,Entertainment,"May 7th, 2006",8053,1916160,479,7700,14400,229900,172500,2800000,336,522,https://socialblade.com/youtube/user/nationalgeographic
228,229,A,CantaJuegoVEVO,434,3216765,3002181401,Music,"Apr 12th, 2011",4041,2340500,585,9400,17600,280900,210600,3400000,2494,523,https://socialblade.com/youtube/user/cantajuegovevo
229,230,A,Lifetime,8120,2910062,2982859523,Entertainment,"Mar 5th, 2006",4479,4304590,1100,17200,32300,516600,387400,6200000,2897,526,https://socialblade.com/youtube/user/lifetime
230,231,A,AmusementForce,6734,4598269,2979536862,People,"Jul 7th, 2013",7310,3764200,941,15100,28200,451700,338800,5400000,1413,527,https://socialblade.com/youtube/user/amusementforce
231,232,B+,TheTalko,2402,7152714,2962299283,Entertainment,"Apr 24th, 2015",2707,1163480,291,4700,8700,139600,104700,1700000,698,531,https://socialblade.com/youtube/user/1ydgfp2x8olyg66kzhxs1g
232,233,A-,Preston,3559,9274735,2962596076,Games,"Jul 4th, 2012",8535,2095500,524,8400,15700,251500,188600,3000000,454,533,https://socialblade.com/youtube/user/prestonplayz
233,234,A,YoungBoy Never Broke Again,210,4894712,2964862655,Music,"Jan 4th, 2015",6588,5180060,1300,20700,38900,621600,466200,7500000,1269,534,https://socialblade.com/youtube/user/lw4jramkz6qj69ljf-toda
234,235,A,ESPN,20567,4907030,2968185886,Sports,"Oct 31st, 2005",5506,4839420,1200,19400,36300,580700,435500,7000000,1268,535,https://socialblade.com/youtube/user/espn
235,236,B,BFvsGF,1859,9081849,2950517163,People,"Oct 9th, 2009",-669,72870,18,291,547,8700,6600,104900,470,536,https://socialblade.com/youtube/user/bfvsgf
236,237,A,Kids Club TV,1330,--,"2,948,555,551",Games,"Oct 15th, 2014",--,9607170,2400,38400,72100,1200000,864600,13800000,27190078,537,https://socialblade.com/youtube/user/al3abmaher
237,238,A,icanrockyourworld,8,5523085,2934562324,Film,"Mar 13th, 2007",8055,2361460,590,9400,17700,283400,212500,3400000,1038,544,https://socialblade.com/youtube/user/icanrockyourworld
238,239,A,Lyrical Lemonade,326,9260943,2930040450,Entertainment,"Mar 25th, 2013",19992,6637040,1700,26500,49800,796400,597300,9600000,457,545,https://socialblade.com/youtube/user/gooodlifefilms
239,240,A-,League of Legends,965,10672326,2919516748,Games,"Feb 9th, 2009",2247,1706800,427,6800,12800,204800,153600,2500000,350,548,https://socialblade.com/youtube/user/riotgamesinc
240,241,A,FunToysMedia,507,6656260,2918537405,Education,"Jul 12th, 2015",17479,6557620,1600,26200,49200,786900,590200,9400000,777,549,https://socialblade.com/youtube/user/jmah2qxmvwdh3xnpbg0iuq
241,242,B+,Kurt Hugo Schneider,481,11457099,2913820946,Entertainment,"Oct 16th, 2007",4900,878251,220,3500,6600,105400,79000,1300000,303,550,https://socialblade.com/youtube/user/kurthugoschneider
242,243,A,MatheusKauanVEVO,91,4406786,2917067039,Music,"Jun 11th, 2015",-242,3366190,842,13500,25200,403900,303000,4800000,1520,552,https://socialblade.com/youtube/user/matheuskauanvevo
243,244,B+,marcanthonyVEVO,83,2623319,2896885900,Music,"Sep 2nd, 2009",-105,1328720,332,5300,10000,159400,119600,1900000,3387,558,https://socialblade.com/youtube/user/marcanthonyvevo
244,245,A-,Dr. Sandra Lee (aka Dr. Pimple,1199,5249158,2893958684,Education,"Oct 20th, 2010",3139,1663180,416,6700,12500,199600,149700,2400000,1120,561,https://socialblade.com/youtube/user/drsandralee
245,246,A,BabyBus - Kids Songs & Nursery,1228,4182532,2891962785,Education,"Jul 15th, 2016",7644,5143960,1300,20600,38600,617300,463000,7400000,1661,565,https://socialblade.com/youtube/user/pyye8d5ffmupf9nsfgd4ba
246,247,B+,emimusic,805,7464955,2881783338,Music,"Mar 10th, 2006",500,1118750,280,4500,8400,134300,100700,1600000,634,567,https://socialblade.com/youtube/user/emimusic
247,248,B+,Talking Tom and Friends,292,9102597,2854930771,Entertainment,"Oct 14th, 2010",2484,1168660,292,4700,8800,140200,105200,1700000,466,574,https://socialblade.com/youtube/user/talkingfriends
248,249,B+,NFL,15825,4747071,2848181262,Sports,"Dec 14th, 2014",1075,833256,208,3300,6200,100000,75000,1200000,1350,577,https://socialblade.com/youtube/user/nfl
249,250,B+,KanyeWestVEVO,64,3715357,2840700020,Music,"May 12th, 2009",-248,939083,235,3800,7000,112700,84500,1400000,1968,579,https://socialblade.com/youtube/user/kanyewestvevo
