,Rank,Grade,Name,Uploads,Subscribers,Views,Daily Average Subs,Daily Average Video Views,Daily Min Estimated Earnings,Daily Max Estimated Earnings,URL
185,186,A-,Dolan Twins,227,9611900,1326180297,6773,1458670,365,5800,https://socialblade.com/youtube/user/thedolantwins
186,187,A-,BuzzFeed Multiplayer,1711,9566054,4666312103,2518,1939480,485,7800,https://socialblade.com/youtube/user/buzzfeedblue
187,188,B+,Sebastián Yatra,58,9525054,410664885,28059,486837,122,1900,https://socialblade.com/youtube/user/sebastianyatra
188,189,A,Its JoJo Siwa,457,9501707,2222811300,7198,2398880,600,9600,https://socialblade.com/youtube/user/ev2o_6qmfaakbzhy3bjgsa
189,190,B-,zayn,11,9485170,44495364,4086,29874,7,119,https://socialblade.com/youtube/user/3pdirw5dua4v70ueer1eha
190,191,A,Atlantic Records,1076,9449591,8568619246,4765,-994259,0,0,https://socialblade.com/youtube/user/atlanticvideos
191,192,A-,ExplosmEntertainment,515,9404844,2545090875,5604,1460590,365,5800,https://socialblade.com/youtube/user/explosmentertainment
192,193,A-,ToyMonster,694,9362758,3442261938,7271,1750620,438,7000,https://socialblade.com/youtube/user/lgopkme9pyo3gdzwwrjwqa
193,194,A,LadyGagaVEVO,146,9352238,6957803586,-421,6819390,1700,27300,https://socialblade.com/youtube/user/ladygagavevo
194,195,A-,Preston,3559,9270647,2961224803,8407,2095500,524,8400,https://socialblade.com/youtube/user/prestonplayz
195,196,A,Lyrical Lemonade,325,9249459,2926262314,19648,6637040,1700,26500,https://socialblade.com/youtube/user/gooodlifefilms
196,197,B+,CrashCourse,1113,9224403,1038197764,4118,606263,152,2400,https://socialblade.com/youtube/user/crashcourse
197,198,A,RomeoSantosVEVO,152,9114783,7838969435,-489,5655960,1400,22600,https://socialblade.com/youtube/user/romeosantosvevo
198,199,B+,Talking Tom and Friends,292,9100865,2854086548,2435,1168660,292,4700,https://socialblade.com/youtube/user/talkingfriends
199,200,B,BFvsGF,1859,9082630,2950465831,-649,72870,18,291,https://socialblade.com/youtube/user/bfvsgf
200,201,A-,Pina Records,317,9074520,5215184386,3278,1702020,426,6800,https://socialblade.com/youtube/user/pinarecordsvideos
201,202,B,Avril Lavigne,114,9057617,195534224,2295,222141,56,889,https://socialblade.com/youtube/user/avrillavigne
202,203,B+,LaurDIY,607,9015139,1106821580,1688,511065,128,2000,https://socialblade.com/youtube/user/laurdiy
203,204,B,Joey Graceffa,1943,9009564,1879922969,747,307273,77,1200,https://socialblade.com/youtube/user/joeygraceffa
