,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
234,235,A-,Annoying Orange,1223,8193026,5856628346,Entertainment,"Jan 11th, 2010",3455,1897270,474,7600,14200,227700,170800,2700000,559,183,https://socialblade.com/youtube/user/realannoyingorange
235,236,A,Cut,1002,8126298,2579446266,Entertainment,"Oct 29th, 2014",7918,3657740,914,14600,27400,438900,329200,5300000,562,674,https://socialblade.com/youtube/user/watchcut
236,237,B+,dangmattsmith,490,8105911,1189762403,Comedy,"Aug 18th, 2011",6328,780578,195,3100,5900,93700,70300,1100000,565,1848,https://socialblade.com/youtube/user/dangmattsmith
237,238,A-,Diana Roma Show,54,8077351,284001862,Entertainment,"Dec 22nd, 2011",10231,2304490,576,9200,17300,276500,207400,3300000,567,10249,https://socialblade.com/youtube/user/theelenaya
238,239,B+,AlishaMarie,285,8067824,1024747733,Howto,"Apr 18th, 2008",1361,436089,109,1700,3300,52300,39200,628000,568,2221,https://socialblade.com/youtube/user/macbby11
239,240,A,Saturday Night Live,6738,8067230,6225933343,Entertainment,"Jul 23rd, 2013",12085,8167610,2000,32700,61300,980100,735100,11800000,569,165,https://socialblade.com/youtube/user/saturdaynightlive
240,241,A-,Chill Nation,1093,8064360,2298000151,Music,"Feb 26th, 2014",8229,2323300,581,9300,17400,278800,209100,3300000,570,774,https://socialblade.com/youtube/user/chillstepnation
241,242,B,Lana Del Rey,22,8059118,681923108,Music,"May 5th, 2011",2232,100505,25,402,754,12100,9000,144700,571,3664,https://socialblade.com/youtube/user/lanadelrey
242,243,B,TheBrainDit,6473,8056913,2740764903,Games,"Sep 23rd, 2011",822,396321,99,1600,3000,47600,35700,570700,573,609,https://socialblade.com/youtube/user/thebraindit
243,244,A,EllieGouldingVEVO,99,8014140,4750032464,Music,"Feb 11th, 2010",-525,2017230,504,8100,15100,242100,181600,2900000,576,257,https://socialblade.com/youtube/user/elliegouldingvevo
244,245,A,Family Fun Pack,1454,8009432,11617035985,Entertainment,"Oct 3rd, 2011",2604,2379260,595,9500,17800,285500,214100,3400000,577,47,https://socialblade.com/youtube/user/familyfunpack
245,246,A,Peppa Pig - Official Channel,429,7997156,3083032947,Film,"Oct 9th, 2013",12572,6739460,1700,27000,50500,808700,606600,9700000,579,502,https://socialblade.com/youtube/user/theofficialpeppa
246,247,C+,Justin Timberlake,14,7978480,22418744,Music,"May 14th, 2006",1837,925,0.23,4,7,111,83,1300,581,131059,https://socialblade.com/youtube/user/justintimberlake
247,248,A,PDK,138,7912386,2127900458,Entertainment,"Jul 21st, 2009",3707,2088720,522,8400,15700,250600,188000,3000000,586,873,https://socialblade.com/youtube/user/pdkfilms
248,249,A,MrBrent98,290,7908916,1033132685,Entertainment,"Aug 1st, 2009",14984,2640620,660,10600,19800,316900,237700,3800000,588,2208,https://socialblade.com/youtube/user/mrbrent98
249,250,B+,Alan Becker,87,7870292,1013239192,Film,"Jul 24th, 2006",4324,872277,218,3500,6500,104700,78500,1300000,591,2253,https://socialblade.com/youtube/user/noogai89
